Event Count,location,Event duration
384,"{'latitude': 20.4020463, 'longitude': 85.8812977}",415.913
385,"{'latitude': 20.8413707, 'longitude': 85.0971595}",608
386,"{'latitude': 22.0854199, 'longitude': 86.1083027}",420
387,"{'latitude': 20.5156967, 'longitude': 86.4016047}",327.664
388,"{'latitude': 19.214603333333333, 'longitude': 83.6651}",487.237
389,"{'latitude': 19.4559791, 'longitude': 82.4042787}",666.333
390,"{'latitude': 20.3085501, 'longitude': 82.689455}",321.917
391,"{'latitude': 21.80569, 'longitude': 87.23499666666666}",308
392,"{'latitude': 20.3554436, 'longitude': 86.223544}",617.332
393,"{'latitude': 20.5150959, 'longitude': 82.6702584}",435.834
394,"{'latitude': 20.8844384, 'longitude': 85.8320221}",329.332
395,"{'latitude': 21.5858166, 'longitude': 86.0733931}",445
396,"{'latitude': 20.7079451, 'longitude': 83.1321341}",311.48
397,"{'latitude': 20.7691333, 'longitude': 86.1508693}",928.663
398,"{'latitude': 18.8660608, 'longitude': 82.5703667}",472.667
399,"{'latitude': 19.0480917, 'longitude': 82.5537131}",422.556
400,"{'latitude': 20.8076412, 'longitude': 82.5357597}",382.336
401,"{'latitude': 19.58138, 'longitude': 82.62270333333333}",1715.889
402,"{'latitude': 20.562753333333333, 'longitude': 82.64375333333334}",788.112
403,"{'latitude': 20.5495897, 'longitude': 83.4179192}",587.5
404,"{'latitude': 20.6573705, 'longitude': 86.6212993}",349.997
405,"{'latitude': 20.4832271, 'longitude': 84.232694}",592.344
406,"{'latitude': 20.1218761, 'longitude': 86.3287277}",360
407,"{'latitude': 22.0890947, 'longitude': 86.1069476}",514
408,"{'latitude': 22.2925199, 'longitude': 84.1055806}",708.332
